episode,energy_per_dose,episode_reward,mkt_stability
0,1.59333333333333,61.386498,5.3861825345612715
1,1.8066666666666615,63.476601,4.001712003855346
2,1.9799999999999955,64.704146,4.433656928415871
3,1.1642857142857141,60.581632,6.733367041877216
4,1.5133333333333316,57.357048,5.106745690866887
5,2.085714285714282,58.411394,3.621663697688973
6,1.4357142857142844,60.204065,5.658465672719217
7,1.7428571428571402,55.713926,4.203228201789784
8,1.246666666666665,61.353061,6.096762191079051
9,1.6666666666666639,63.256468,4.6755784951598685
10,1.664285714285711,58.889539,4.544108840015724
11,1.7533333333333294,60.513215,4.263722820684336
12,1.8357142857142819,60.666352,4.049268655943024
13,1.0692307692307674,60.325085,6.812117327624605
14,2.085714285714282,60.84947,4.382947420730488
15,2.118749999999996,59.66961,3.7916151738838835
16,1.3249999999999957,60.911189,5.454201273653439
17,1.6214285714285677,59.184042,4.142851647897203
18,1.5999999999999972,61.882329,5.117714822648622
19,1.6176470588235252,63.400482,5.259506965804462
20,1.506249999999997,63.776513,5.581718272232479
21,1.819999999999996,66.157566,4.2713057650206565
22,1.8142857142857116,61.203705,4.498659236112019
23,1.646666666666662,60.895895,4.612594964995765
24,1.5133333333333288,64.869769,4.702069391105397
25,1.69333333333333,63.582908,4.1310412099896325
26,1.931249999999996,63.774676,4.464468515008207
27,1.3846153846153801,62.369737,5.485911463354512
28,1.4846153846153822,59.848885,5.620328955828654
29,1.7499999999999953,63.6205,4.40667425161206
30,1.3249999999999975,61.988378,5.892197364899687
31,1.2812499999999964,64.683979,5.726866388780309
32,1.6941176470588208,65.715596,5.282040620454552
33,1.4176470588235257,63.767108,5.6734055489938555
34,1.39333333333333,63.613072,6.175229246212325
35,1.770588235294114,64.856465,4.769417781978689
36,1.7583333333333304,56.879583,4.65706986956377
37,1.5769230769230727,59.951049,5.007049450298325
38,1.5133333333333316,61.645806,5.755214257026751
39,1.5941176470588199,64.317821,4.722863031988993
40,1.8882352941176435,53.690054,3.660920120485798
41,1.4187499999999975,66.237337,4.195501692248513
42,1.7666666666666646,59.386416,5.276945592755908
43,1.3769230769230751,59.425847,5.109752797910062
44,1.849999999999997,62.279942,5.3382802393036854
45,1.6235294117647021,65.533253,4.269948233957223
46,1.7187499999999964,61.845354,4.868513905667783
47,1.852941176470584,15.010575,3.571052068041922
48,1.4533333333333294,61.887264,5.118457951811081
49,1.6499999999999986,62.741538,5.581485639136986
50,1.373333333333331,62.372943,5.762914533504954
51,1.5874999999999986,63.671329,5.077798339120704
52,1.7466666666666621,60.833432,4.754094704707427
53,1.4785714285714247,60.837332,4.861485499918274
54,1.3799999999999983,62.995179,5.872101137130642
55,2.056249999999996,59.140576,3.669557372694044
56,1.8266666666666633,60.892579,4.906020756700286
57,1.1294117647058792,60.75255,6.10507755518222
58,1.837499999999996,58.188093,4.287075520862629
59,1.4933333333333298,62.338048,5.500572903990985
60,1.5235294117647038,60.107177,5.349207735047685
61,1.946666666666662,65.511873,4.152774831279146
62,1.2999999999999972,55.355289,4.892272744987508
63,1.9999999999999971,58.891449,4.635827558928213
64,1.299999999999996,62.908826,4.841949921612809
65,2.579999999999996,16.215684,3.0177050243173085
66,2.056249999999996,65.57748,4.769756492288138
67,1.8999999999999955,57.432114,3.4385497873972213
68,1.505882352941173,65.671584,5.3400993541836215
69,1.9352941176470542,65.790443,4.393776205635561
70,1.257894736842104,64.680606,5.7601773113311765
71,1.162499999999997,65.379398,6.551283748416779
72,1.774999999999996,60.623306,3.6459566305572366
73,1.8642857142857099,61.26409,4.1038691474144
74,1.7333333333333283,63.413131,4.74004564884774
75,1.712499999999996,64.8314,4.216673917068306
76,1.6647058823529386,63.757492,5.592134129513511
77,1.6249999999999964,61.762488,4.350003173605614
78,1.7384615384615347,62.384798,4.886526779716405
79,1.942857142857139,59.235741,4.512987953519257
80,1.9714285714285669,62.712831,4.367436697280709
81,1.6230769230769193,58.916879,4.857252692975692
82,1.3437499999999964,55.891075,4.724748859863951
83,1.5066666666666644,60.334268,4.745726812375267
84,1.419999999999996,62.112265,4.288293769155928
85,1.857142857142852,60.145494,4.092267410420959
86,1.7499999999999964,65.095428,4.741798330945471
87,1.8384615384615335,65.042025,4.487626069815462
88,1.6499999999999955,63.360831,5.443831068789336
89,1.2599999999999967,63.459354,5.859864687941922
90,1.746153846153843,60.828141,4.57800850575029
91,1.466666666666664,60.413549,5.04904198765945
92,1.4368421052631561,59.767747,6.240892387257986
93,1.8312499999999954,62.258644,4.371607037415913
94,1.7066666666666643,56.422406,4.840383603773034
95,1.5866666666666627,63.873289,4.699249343118083
96,1.6749999999999954,64.432848,5.08916041926301
97,1.5999999999999974,59.858855,4.526325152261393
98,1.537499999999997,62.595991,5.983127617720754
99,1.8214285714285663,64.096479,4.034760621930104
100,1.549999999999998,59.851317,5.218212816543598
101,1.5117647058823498,59.830026,5.544720367114792
102,1.743749999999996,65.779051,4.885892076030643
103,1.8499999999999974,62.013029,4.6810189274191885
104,1.17647058823529,58.881963,6.031583493879339
105,1.424999999999998,60.732789,5.737063621517393
106,1.8083333333333276,62.811081,4.436028932219358
107,1.8071428571428538,59.403641,4.6957392784228205
108,1.4866666666666626,63.412078,4.940656902538592
109,1.631249999999997,64.334866,5.30727213132252
110,1.79333333333333,59.135189,3.7968857863455128
111,1.419999999999996,53.912903,5.090431329029968
112,1.3399999999999976,63.819878,5.949654193521042
113,1.5599999999999965,64.857698,5.157860074156872
114,1.1764705882352924,63.616705,6.0521081033538735
115,2.085714285714282,60.730796,4.166311047649231
116,1.631249999999997,60.671804,4.052788263350635
117,1.7642857142857105,61.316378,4.455556475347009
118,1.2533333333333294,65.703578,5.728370864033025
119,1.3176470588235272,63.249891,5.6526604602883594
120,1.216666666666664,60.82225,5.743727395547523
121,1.3307692307692283,56.838791,5.641013815834356
122,1.6294117647058792,65.13494,5.7331667961822745
123,1.0249999999999986,61.569785,6.083772025142139
124,1.7055555555555517,67.885481,4.375756940946189
